org_name,org_website,org_type,source_link,source_type,access_status,opportunity_type,geographic_focus,mediums_supported,estimated_opp_per_year
Hedgebrook Writer-in-Residence,https://www.hedgebrook.org/residencies,Arts Organization,https://artistcommunities.org/directory/residencies/hedgebrook-writer-residence,residencies,open,residency,"Freeland, WA",writing,10+
Hewnoaks Artist Residency: Summer Residency,https://hewnoaks.org/,Arts Organization,https://artistcommunities.org/directory/residencies/hewnoaks-artist-residency-summer-residency,residencies,open,residency,"Portland, ME",multidisciplinary,10+
Hypatia-in-the-Woods Residency,https://hypatiainthewoods.org/,Arts Organization,https://artistcommunities.org/directory/residencies/hypatia-woods-residency,residencies,open,residency,"Shelton, WA",multidisciplinary,1.0
I-Park Foundation,https://www.i-park.org/,Arts Organization,https://artistcommunities.org/directory/residencies/i-park-foundation,residencies,open,residency,"East Haddam, CT",multidisciplinary,10+
In the Making,https://centrum.submittable.com/submit/325221/2026-centrum-residency-application,Arts Organization,https://artistcommunities.org/directory/residencies/making,residencies,open,residency,"Port Townsend, WA",multidisciplinary,1.0
Individual Artist Residencies,https://www.trilliumartsnc.org/,Arts Organization,https://artistcommunities.org/directory/residencies/individual-artist-residencies,residencies,open,residency,"Mars Hill, NC",multidisciplinary,10+
Interdisciplinary Residency Program,https://www.osgf.org/,Foundation,https://artistcommunities.org/directory/residencies/interdisciplinary-residency-program,residencies,open,residency,"Upperville, VA",multidisciplinary,30+
Interlude Artist Residency,https://interluderesidency.com/,Arts Organization,https://artistcommunities.org/directory/residencies/interlude-artist-residency,residencies,open,residency,"Hudson, NY",visual arts,10+
International Summer Program,https://www.watermillcenter.org/summer,Arts Organization,https://artistcommunities.org/directory/residencies/international-summer-program,residencies,open,residency,"Water Mill, NY",multidisciplinary,30+
Interwoven: Art and Ecology of the Island,https://gibraltarpointcentre.ca/artist-residences/programmed-residencies/,Arts Organization,https://artistcommunities.org/directory/residencies/interwoven-art-and-ecology-island,residencies,open,residency,"Toronto, ON, Canada","art, ecology",1.0
Itinera Arte Artist Residency Program,https://www.instagram.com/itinera_arte/,Arts Organization,https://artistcommunities.org/directory/residencies/itinera-arte-artist-residency-program,residencies,open,residency,"Rio de Janeiro, Brazil",multidisciplinary,1.0
Jackman Goldwasser Residency,https://www.hydeparkart.org/,Arts Organization,https://artistcommunities.org/directory/residencies/jackman-goldwasser-residency,residencies,open,residency,"Chicago, IL",multidisciplinary,1.0
James Castle House Artist Residency,https://www.jamescastlehouse.org/,Arts Organization,https://artistcommunities.org/directory/residencies/james-castle-house-artist-residency,residencies,open,residency,"Boise, ID",multidisciplinary,10+
Jentel Artist Residency,http://jentelarts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/jentel-artist-residency,residencies,open,residency,"Banner, WY","visual arts, writing",10+
Joan Mitchell Center Artist Residency (New Orleans),https://www.joanmitchellfoundation.org/joan-mitchell-center,Arts Organization,https://artistcommunities.org/directory/residencies/joan-mitchell-center-artist-residency-new-orleans,residencies,open,residency,"New Orleans, LA",visual arts,10+
Joan Mitchell Center Residency,https://www.joanmitchellfoundation.org/joan-mitchell-center,Arts Organization,https://artistcommunities.org/directory/residencies/joan-mitchell-center-residency,residencies,open,residency,"New Orleans, LA",visual arts,10+
Jonas Mekas Research & Production Residency,https://monirafoundation.org/jonas-mekas-research-production-residency/,Foundation,https://artistcommunities.org/directory/residencies/jonas-mekas-research-production-residency,residencies,open,residency,"Jersey City, NJ","film, media",1.0
Jordan Schnitzer Printmaking Residency,https://www.sitkacenter.org/,Arts Organization,https://artistcommunities.org/directory/residencies/jordan-schnitzer-printmaking-residency,residencies,open,residency,"Otis, OR",printmaking,1.0
Josephine Sculpture Park 2025-2026 Artist-in-Residence Program,https://www.josephinesculpturepark.org/air,Arts Organization,https://artistcommunities.org/directory/residencies/josephine-sculpture-park-2025-2026-artist-residence-program,residencies,open,residency,"Frankfort, KY",sculpture,2026-01-02 00:00:00
Kaatsbaan Cultural Park Weekend Retreat Residencies,https://kaatsbaan.org/,Arts Organization,https://artistcommunities.org/directory/residencies/kaatsbaan-cultural-park-weekend-retreat-residencies,residencies,open,residency,"Tivoli, NY",multidisciplinary,10+
Kaatsbaan Subsidized Residencies,https://kaatsbaan.org/subsidized-residencies,Arts Organization,https://artistcommunities.org/directory/residencies/kaatsbaan-subsidized-residencies,residencies,open,residency,"Tivoli, NY",multidisciplinary,10+
Kimmel Harding Nelson Center for the Arts,https://www.khncenterforthearts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/kimmel-harding-nelson-center-arts,residencies,open,residency,"Nebraska City, NE",multidisciplinary,50+
Kindred Creative Residence + Agro-ForesT,https://www.kindred-craft.org/,Arts Organization,https://artistcommunities.org/directory/residencies/kindred-creative-residence-agro-forest,residencies,open,residency,"Jeffersonville, VT",multidisciplinary,1.0
KODA Artist Residency,KODA,Arts Organization,https://artistcommunities.org/directory/residencies/koda-artist-residency,residencies,open,residency,"New York, NY",visual arts,2.0
La Baldi Residency,,Arts Organization,https://artistcommunities.org/directory/residencies/la-baldi-residency,residencies,open,residency,"Montegiovi, Italy",multidisciplinary,10+
La Maison de Beaumont,https://lamaisondebeaumont.com/,Arts Organization,https://artistcommunities.org/directory/residencies/la-maison-de-beaumont,residencies,open,residency,"Beaumont-de-Pertuis, France",multidisciplinary,10+
La Maison de Beaumont - Artist Residency Program,https://lamaisondebeaumont.com/,Arts Organization,https://artistcommunities.org/directory/residencies/la-maison-de-beaumont-artist-residency-program,residencies,open,residency,"Beaumont-de-Pertuis, France",multidisciplinary,10+
La Maison de Simon,https://maisonsimon.art/,Arts Organization,https://artistcommunities.org/directory/residencies/la-maison-de-simon,residencies,open,residency,"Fontaine-sous-Jouy, France",multidisciplinary,10+
La Maldita Estampa Open Call Art Print - Barcelona - Spain 2025,https://lamalditaestampa.eu/,Arts Organization,https://artistcommunities.org/directory/residencies/la-maldita-estampa-open-call-art-print-barcelona-spain-2025,residencies,open,residency,"Barcelona, Spain",printmaking,10+
La Napoule Art Foundation: Canadian Artist Residency,http://www.lnaf.org/,Foundation,https://artistcommunities.org/directory/residencies/la-napoule-art-foundation-canadian-artist-residency,residencies,open,residency,"Mandelieu-La Napoule, France",visual arts,10+
La Napoule Art Foundation: International Artist Residency,http://www.lnaf.org/,Foundation,https://artistcommunities.org/directory/residencies/la-napoule-art-foundation-international-artist-residency,residencies,open,residency,"Mandelieu-La Napoule, France",visual arts,10+
La Porte Peinte Centre pour les Arts,https://www.laportepeinte.com/,Arts Organization,https://artistcommunities.org/directory/residencies/la-porte-peinte-centre-pour-les-arts,residencies,open,residency,"Noyers sur Serein, France",multidisciplinary,10+
Launchpad Residency,https://bostonarts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/launchpad-residency,residencies,open,residency,"Boston, MA",performance,1.0
Leighton Artist Studios,https://www.banffcentre.ca/,Arts Organization,https://artistcommunities.org/directory/residencies/leighton-artist-studios,residencies,open,residency,"Banff, AB, Canada",multidisciplinary,10+
Lighthouse Works Fellowship,https://lighthouseworks.us/fellowship,Arts Organization,https://artistcommunities.org/directory/residencies/lighthouse-works-fellowship,residencies,open,"residency, fellowship","Fishers Island, NY",multidisciplinary,10+
List og Land,http://listogland.com/,Arts Organization,https://artistcommunities.org/directory/residencies/list-og-land,residencies,open,residency,"Isjafjörður, Iceland",multidisciplinary,10+
Loghaven Artist Residency,https://loghaven.org/,Arts Organization,https://artistcommunities.org/directory/residencies/loghaven-artist-residency,residencies,open,residency,"Knoxville, TN",multidisciplinary,10+
"Long Term, Live/Work Residency in New Orleans",https://www.stayattravelers.com/neworleans,Arts Organization,https://artistcommunities.org/directory/residencies/long-term-livework-residency-new-orleans,residencies,open,residency,"New Orleans, LA",multidisciplinary,2026-01-02 00:00:00
Longfellow Emerging Artist Fellowship,https://onelongfellowsquare.com/leaf,Arts Organization,https://artistcommunities.org/directory/residencies/longfellow-emerging-artist-fellowship,residencies,open,"residency, fellowship","Portland, ME",music,1.0
Lost and Found Lab Residency,http://www.lostandfoundlab.org/,Arts Organization,https://artistcommunities.org/directory/residencies/lost-and-found-lab-residency,residencies,invitation,residency,"Cos Cob, CT",multidisciplinary,1.0
Lucid Art Foundation,https://www.lucidart.org/,Foundation,https://artistcommunities.org/directory/residencies/lucid-art-foundation,residencies,open,residency,"Inverness, CA",multidisciplinary,10+
L'AiR Arts Residency Program,https://www.lairarts.com/,Arts Organization,https://artistcommunities.org/directory/residencies/lair-arts-residency-program,residencies,open,residency,"Paris, France",multidisciplinary,10+
"Ma's House & BIPOC Art Studio, Inc. Residency Program",https://www.mashouse.studio/,Arts Organization,https://artistcommunities.org/directory/residencies/mas-house-bipoc-art-studio-inc-residency-program,residencies,open,residency,US,multidisciplinary,10+
MacDowell Fellowship,MacDowell,Arts Organization,https://artistcommunities.org/directory/residencies/macdowell-fellowship,residencies,open,"residency, fellowship","Peterborough, NH",multidisciplinary,50+
MADE Creatives in Residence,https://www.made-creatives.com/,Arts Organization,https://artistcommunities.org/directory/residencies/made-creatives-residence,residencies,open,residency,US,multidisciplinary,10+
Maison Les Buis,Maison Les Buis,Arts Organization,https://artistcommunities.org/directory/residencies/maison-les-buis,residencies,open,residency,"Feuillade, France",multidisciplinary,10+
Manship Artists Residency,Manship Artists Residency,Arts Organization,https://artistcommunities.org/directory/residencies/manship-artists-residency,residencies,open,residency,"Gloucester, MA",multidisciplinary,10+
"Marathons: Intensive Workshops in Drawing, Painting, and Sculpture",Marathons - New York Studio Schoolarathons/,Arts Organization,https://artistcommunities.org/directory/residencies/marathons-intensive-workshops-drawing-painting-and-sculpture,residencies,open,residency,"New York, NY",visual arts,10+
Marble House Project,https://www.marblehouseproject.org/,Arts Organization,https://artistcommunities.org/directory/residencies/marble-house-project,residencies,open,residency,"Dorset, VT",multidisciplinary,10+
Mauser Ecohouse Costa Rica - ALL DISCIPLINES 2025-2026,https://www.mauserfoundation.org/,Arts Organization,https://artistcommunities.org/directory/residencies/mauser-ecohouse-costa-rica-all-disciplines-2025-2026,residencies,open,residency,"Parrita, Costa Rica",multidisciplinary,10+
McColl Center Artist-in-Residence Program,http://mccollcenter.org/,Arts Organization,https://artistcommunities.org/directory/residencies/mccoll-center-artist-residence-program,residencies,open,residency,"Charlotte, NC",visual arts,10+
Mentorship Residency Program,https://indigoartsalliance.me/,Arts Organization,https://artistcommunities.org/directory/residencies/mentorship-residency-program,residencies,open,residency,"Portland, ME",multidisciplinary,1.0
Mesa Refuge: Residency,Mesa Refuge,Arts Organization,https://artistcommunities.org/directory/residencies/mesa-refuge-residency,residencies,open,residency,"Point Reyes Station, CA","writing, film, audio",10+
Millay Arts Core Residency,https://www.millayarts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/millay-arts-core-residency,residencies,open,residency,"Austerlitz, NY",multidisciplinary,30+
Millay Arts Steepletop Residency,https://www.millayarts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/millay-arts-steepletop-residency,residencies,open,residency,"Austerlitz, NY",multidisciplinary,10+
Millay Arts Wintertide Rustic Retreat,https://www.millayarts.org/,Arts Organization,Millay Arts Wintertide Rustic Retreat | Artist Communities Allianceg/directory/residencies/millay-arts-wintertide-rustic-retreat,residencies,open,residency,"Austerlitz, NY",multidisciplinary,10+
Mineral Arts & Residencies (MARS),https://mineral-school.org/,Arts Organization,https://artistcommunities.org/directory/residencies/mineral-arts-residencies-mars,residencies,open,residency,"Mineral, WA",multidisciplinary,10+
Miss Sarah Fellowship for Black Women Writers,https://www.trilliumartsnc.org/,Arts Organization,https://artistcommunities.org/directory/residencies/miss-sarah-fellowship-black-women-writers,residencies,open,"residency, fellowship","Mars Hill, NC",writing,1.0
MMCA International Artist/Researcher Residency Program,https://www.mmca.go.kr/,Museum,https://artistcommunities.org/directory/residencies/mmca-international-artistresearcher-residency-program,residencies,open,residency,"Dobong-gu, Seoul, South Korea",multidisciplinary,10+
Moab Arts Reuse Residency,https://www.moabarts.org/residency,Arts Organization,https://artistcommunities.org/directory/residencies/moab-arts-reuse-residency,residencies,open,residency,"Moab, UT",visual arts,1.0
Monira Performance Residency,https://monirafoundation.org/,Foundation,https://artistcommunities.org/directory/residencies/monira-performance-residency,residencies,open,residency,"Jersey City, NJ",performance,10+
Penland Core Fellowship Program,https://penland.org/,Educational Institution,https://artistcommunities.org/directory/residencies/penland-core-fellowship-program,residencies,open,"residency, fellowship","Penland, NC",crafts,1.0
Penland Resident Artist Program,https://penland.org/residencies/,Educational Institution,https://artistcommunities.org/directory/residencies/penland-resident-artist-program,residencies,open,residency,"Penland, NC",crafts,10+
Residency Program,https://www.kala.org/,Arts Organization,https://artistcommunities.org/directory/residencies/residency-program,residencies,open,residency,"Berkeley, CA",multidisciplinary,50+
Rest Retreat,https://www.respiteintheround.org/rest-retreats,Arts Organization,https://artistcommunities.org/directory/residencies/rest-retreat,residencies,open,residency,"Rougemont, NC",multidisciplinary,10+
Steel Yard Micro-Residency,https://www.thesteelyard.org/residencies/,Arts Organization,https://artistcommunities.org/directory/residencies/steel-yard-micro-residency,residencies,open,residency,"Providence, RI",industrial arts,10+
Steel Yard Year-Long Residency,https://www.thesteelyard.org/residencies/,Arts Organization,https://artistcommunities.org/directory/residencies/steel-yard-year-long-residency,residencies,open,residency,"Providence, RI",industrial arts,10+
The Whirlybird Compound Artist in Residency of Acadiana,https://www.thewhirlybird.com/,Arts Organization,https://artistcommunities.org/directory/residencies/whirlybird-compound-artist-residency-acadiana,residencies,open,residency,"Opelousas, LA",multidisciplinary,10+
Together Apart | Online Residency,https://www.proyectoace.org/en/residencies/,Arts Organization,https://artistcommunities.org/directory/residencies/together-apart-online-residency-remote-shelter-artistic-practices,residencies,open,residency,online,multidisciplinary,10+
Wildacres Environmental Artist-in-Residence,https://wildacres.org/#,Arts Organization,https://artistcommunities.org/directory/residencies/wildacres-environmental-artist-residence,residencies,open,residency,"Little Switzerland, NC",environmental art,10+
Willapa Bay AiR,https://willapabayair.org/residency,Arts Organization,https://artistcommunities.org/directory/residencies/willapa-bay-air,residencies,open,residency,"Oysterville, WA",multidisciplinary,10+
William Flanagan Memorial Creative Persons Center,https://www.albeefoundation.org/programs.html,Foundation,https://artistcommunities.org/directory/residencies/william-flanagan-memorial-creative-persons-center,residencies,open,residency,"Montauk, NY","writing, visual arts",10+
Woodstock AIR,https://cpw.org/,Arts Organization,https://artistcommunities.org/directory/residencies/woodstock-air,residencies,open,residency,"Kingston, NY",photography,10+
"Work in Ceramics, Painting and Printmaking on the Greek Island of Skopelos",https://www.skopartfoundation.org/,Foundation,https://artistcommunities.org/directory/residencies/work-ceramics-painting-and-printmaking-greek-island-skopelos,residencies,open,residency,"Skopelos, Greece","ceramics, painting, printmaking",10+
Workspace,https://lmcc.net/,Arts Organization,https://artistcommunities.org/directory/residencies/workspace,residencies,open,residency,"New York, NY",visual arts,30+
WOWArtSci Supported Residencies,https://www.wowartsci.org/,Arts Organization,https://artistcommunities.org/directory/residencies/wowartsci-supported-residencies,residencies,open,residency,"Carson, NM","art, science",10+
"Write On, Door County Writers' Residency Program",https://writeondoorcounty.org,Arts Organization,https://artistcommunities.org/directory/residencies/write-door-county-writers-residency-program,residencies,open,residency,"Fish Creek, WI",writing,10+
Writers & Artists Residency in San Miguel de Allende,https://www.caminoalarte.org/,Arts Organization,https://artistcommunities.org/directory/residencies/writers-artists-residency-san-miguel-de-allende,residencies,open,residency,"San Miguel de Allende, Mexico",multidisciplinary,10+
Your Art Residency in Argentina!,Residencia Corazón,Arts Organization,https://artistcommunities.org/directory/residencies/your-art-residency-argentina,residencies,open,residency,"La Plata, Argentina",multidisciplinary,30+
Zero Foot Hills,Zero Foot Hills,Arts Organization,https://artistcommunities.org/directory/residencies/zero-foot-hills,residencies,open,residency,US,multidisciplinary,10+
´acePIRAR | Exploration Residency,https://www.proyectoace.org/en/residencies/exploration-residencies/,Arts Organization,https://artistcommunities.org/directory/residencies/acepirar-exploration-residency,residencies,open,residency,"Buenos Aires, Argentina",multidisciplinary,30+
´acePIRAR | micro-Residency,https://www.proyectoace.org/en/residencies/micro-residencies/,Arts Organization,https://artistcommunities.org/directory/residencies/acepirar-micro-residency,residencies,open,residency,"Buenos Aires, Argentina",multidisciplinary,30+
´acePIRAR | Palimpsest Project—Mural Painting Residency,https://www.proyectoace.org/en/residencies/mural-painting/,Arts Organization,https://artistcommunities.org/directory/residencies/acepirar-palimpsest-project-mural-painting-residency,residencies,open,residency,"Buenos Aires, Argentina",mural painting,10+
´acePIRAR | Production Residency,https://www.proyectoace.org/en/residencies/production-residencies/,Arts Organization,https://artistcommunities.org/directory/residencies/acepirar-production-residency,residencies,open,residency,"Buenos Aires, Argentina",multidisciplinary,30+
Way Beyond - Residency program by Arteles,https://www.arteles.org/residency.html,Arts Organization,https://artistcommunities.org/directory/residencies/way-beyond-residency-program-arteles,residencies,open,residency,"Haukijärvi, Finland",multidisciplinary,10+
Weir Farm Artist-In-Residence Program,https://www.weirfarmartalliance.org/,Government,https://artistcommunities.org/directory/residencies/weir-farm-artist-residence-program,residencies,open,residency,"Wilton, CT",visual arts,10+
Westerly Library & Wilcox Park AIR at The Cottage,https://www.westerlylibrary.org/artist-in-residence,Arts Organization,https://artistcommunities.org/directory/residencies/westerly-library-wilcox-park-air-cottage,residencies,open,residency,"Westerly, RI",multidisciplinary,10+
Wild Wonderful Rural Residencies,https://v4larts.com/residencies,Arts Organization,https://artistcommunities.org/directory/residencies/wild-wonderful-rural-residencies,residencies,open,residency,"Harpers Ferry, WV",multidisciplinary,10+
Wildacres Artist-in-Residence,https://wildacres.org/#,Arts Organization,https://artistcommunities.org/directory/residencies/wildacres-artist-residence,residencies,open,residency,"Little Switzerland, NC",multidisciplinary,30+
The Sue-Je Lee Gage Sunlit Residency for Social Justice and Human Rights,https://www.sunlitresidency.com/,Arts Organization,https://artistcommunities.org/directory/residencies/sue-je-lee-gage-sunlit-residency-social-justice-and-human-rights,residencies,open,residency,"Ithaca, NY",multidisciplinary,10+
Craigardan,https://www.craigardan.org/apply,Arts Organization,https://artistcommunities.org/directory/open-calls/call-applications,open-calls,open,residency,"New York, United States",multidisciplinary,2026-01-15 00:00:00
Monson Arts,https://artistcommunities.org,Arts Organization,https://artistcommunities.org/directory/open-calls/spring-2026-open-call,open-calls,open,residency,"Maine, United States",multidisciplinary,2026-01-15 00:00:00
Pedvale International Artist Residency,https://www.pedvale.lv/en/artists-residency/open-call-for-spring-residency-2026/,Arts Organization,https://artistcommunities.org/directory/open-calls/open-call-spring-residency-2026,open-calls,open,residency,Latvia,multidisciplinary,2026-01-18 00:00:00
Montello Foundation,https://www.montellofoundation.org/pages/montello_apply.htm,Arts Organization,https://artistcommunities.org/directory/open-calls/solitary-retreat-nevada-desert,open-calls,open,residency,"Nevada, United States",multidisciplinary,2026-01-18 00:00:00
Aviário Studio,https://www.aviariostudio.eu/apply-now,Arts Organization,https://artistcommunities.org/directory/open-calls/aviario-studio-printmaking-residency-summerfall-2026,open-calls,open,residency,Portugal,printmaking,2026-01-20 00:00:00
Banff Centre for Arts & Creativity,http://url.banffcentre.ca/bgKyVU,Arts Organization,https://artistcommunities.org/directory/open-calls/jazz-sonic-arts-2026-improvised-music-residency,open-calls,open,residency,"Alberta, Canada",music,2026-01-21 00:00:00
Banff Centre for Arts & Creativity,http://url.banffcentre.ca/bgKyXF,Arts Organization,https://artistcommunities.org/directory/open-calls/audio-recording-engineer-summer-2026,open-calls,open,residency,"Alberta, Canada",audio engineering,2026-01-21 00:00:00
Trillium Arts,https://www.trilliumartsnc.org/nc-choreographic-fellowships,Arts Organization,https://artistcommunities.org/directory/open-calls/2025-2026-nc-choreographic-fellowships,open-calls,open,fellowship,North Carolina,dance,2026-01-21 00:00:00
Banff Centre for Arts & Creativity,http://url.banffcentre.ca/bgKqWS,Arts Organization,https://artistcommunities.org/directory/open-calls/banff-artist-residence-summer-2026,open-calls,open,residency,"Alberta, Canada",multidisciplinary,2026-01-21 00:00:00
Banff Centre for Arts & Creativity,https://www.banffcentre.ca/programs/indigenous-arts/story-sharing-residency-20-2026,Arts Organization,https://artistcommunities.org/directory/open-calls/story-sharing-residency-20-2026-indigenous-arts-self-directed-residency,open-calls,open,residency,"Alberta, Canada",Indigenous arts,2026-01-28 00:00:00
Haystack Mountain School of Crafts,https://www.haystack-mtn.org/open-studio-residency,Arts Organization,https://artistcommunities.org/directory/open-calls/open-studio-residency-studio-technician,open-calls,open,residency,"Maine, United States",crafts,2026-01-30 00:00:00
La Maldita Estampa,https://lamalditaestampa.eu/residencias-artisticas/,Arts Organization,https://artistcommunities.org/directory/open-calls/art-print-residency-barcelona-2026-la-maldita-estampa,open-calls,open,residency,"Barcelona, Spain",printmaking,2026-01-30 00:00:00
´ace,https://www.proyectoace.org/en/residencies/production-residencies/,Arts Organization,https://artistcommunities.org/directory/open-calls/first-open-call-2026-production-residency,open-calls,open,residency,Argentina,multidisciplinary,2026-01-31 00:00:00
´ace,https://www.proyectoace.org/en/residencies/exploration-residencies/,Arts Organization,https://artistcommunities.org/directory/open-calls/first-open-call-2026-exploration-residency,open-calls,open,residency,Argentina,multidisciplinary,2026-01-31 00:00:00
North American Cultural Laboratory (NACL),https://www.nacl.org/deep-space-performance-residency,Arts Organization,https://artistcommunities.org/directory/open-calls/2027-deep-space-performance-residency,open-calls,open,residency,"New York, United States",performance,2026-01-31 00:00:00
CPW,https://cpw.org/artist-residency/,Arts Organization,https://artistcommunities.org/directory/open-calls/woodstock-air-open-call,open-calls,open,residency,"New York, United States",multidisciplinary,2026-01-31 00:00:00
Arte Studio Ginestrelle,https://artestudioginestrelle.wordpress.com/,Arts Organization,https://artistcommunities.org/directory/open-calls/arte-studio-ginestrelle-creative-writing-retreats-assisi,open-calls,open,residency,"Perugia, Italy",writing,2026-01-31 00:00:00
Alchemy Artists Residency,https://artistcommunities.org/directory/open-calls/makealchemy.com,Arts Organization,https://artistcommunities.org/directory/open-calls/alchemy-artists-residency-spring-island-2026,open-calls,open,residency,"Ontario, Canada",multidisciplinary,2026-02-01 00:00:00
Soaring Gardens Artists Retreat,https://oralermantrust.com/,Arts Organization,https://artistcommunities.org/directory/open-calls/soaring-gardens-artist-retreat-summer-residencies-2026,open-calls,open,residency,"Pennsylvania, United States",multidisciplinary,2026-02-01 00:00:00
MASS MoCA,https://massmoca.org/studios/applying-financial-aid/,Arts Organization,https://artistcommunities.org/directory/open-calls/mass-moca-early-application-jan-dec-2027-residencies-0,open-calls,open,residency,"Massachusetts, United States",multidisciplinary,2026-02-01 00:00:00
Woodstock Byrdcliffe Guild,https://woodstockbyrdcliffeguild.submittable.com/submit,Arts Organization,https://artistcommunities.org/directory/open-calls/summer-2026-individual-residency,open-calls,open,residency,"New York, United States",multidisciplinary,2026-02-01 00:00:00
MASS MoCA,https://massmoca.org/studios/applying-financial-aid/,Arts Organization,https://artistcommunities.org/directory/open-calls/mass-moca-early-application-jan-dec-2027-residencies,open-calls,open,residency,"Massachusetts, United States",multidisciplinary,2026-02-01 00:00:00
Pedvale International Artist Residency,https://www.pedvale.lv/en/artists-residency/open-call-for-midsummer-residency-2026/,Arts Organization,https://artistcommunities.org/directory/open-calls/open-call-midsummer-residency-2026,open-calls,open,residency,Latvia,multidisciplinary,2026-02-01 00:00:00
Dorland Mountain Arts,https://www.dorlandmountainarts.org/the-residency-program,Arts Organization,https://artistcommunities.org/directory/open-calls/your-time-dorland-mountain-arts,open-calls,open,residency,"California, United States",multidisciplinary,2026-02-01 00:00:00
Banff Centre for Arts & Creativity,http://url.banffcentre.ca/bgKyfl,Arts Organization,https://artistcommunities.org/directory/open-calls/indigenous-world-dance-30-2026-indigenous-arts-dance-residency,open-calls,open,residency,"Alberta, Canada",dance,2026-02-04 00:00:00
Arteles Creative Center,https://www.arteles.org/back_to_basics_residency.html,Arts Organization,https://artistcommunities.org/directory/open-calls/back-basics-thematic-residency-program-finland-summer-2026,open-calls,open,residency,Finland,multidisciplinary,2026-02-05 00:00:00
Banff Centre for Arts & Creativity,http://url.banffcentre.ca/bgOx9g,Arts Organization,https://artistcommunities.org/directory/open-calls/partnerships-arts-building-resilient-cultural-ecosystems,open-calls,open,residency,"Alberta, Canada",multidisciplinary,2026-02-10 00:00:00
MacDowell,https://www.macdowell.org/apply/apply-for-fellowship,Arts Organization,https://artistcommunities.org/directory/open-calls/macdowell-fall-2026-winter-2027,open-calls,open,residency,"New Hampshire, United States",multidisciplinary,2026-02-10 00:00:00
SPACES,https://spacesgallery.submittable.com/submit,Arts Organization,https://artistcommunities.org/directory/open-calls/spaces-2027-open-call,open-calls,open,residency,"Ohio, United States",multidisciplinary,2026-02-10 00:00:00
La Maldita Estampa,https://lamalditaestampa.eu/residencias-artisticas/,Arts Organization,https://artistcommunities.org/directory/open-calls/art-print-residency-winter-spring-barcelona-2026,open-calls,open,residency,"Barcelona, Spain",printmaking,2026-02-13 00:00:00
Eureka Springs School of the Arts,https://essa-art.org/wp-content/uploads/2025/09/2026-Mentored-Wood-Residency-Application-.pdf,Arts Organization,https://artistcommunities.org/directory/open-calls/2026-mentored-woodworking-residency-doug-stowe,open-calls,open,residency,"Arkansas, United States",woodworking,2026-02-15 00:00:00
Woodstock Byrdcliffe Guild,https://woodstockbyrdcliffeguild.submittable.com/submit/339399/2026-summer-air-communal-application,Arts Organization,https://artistcommunities.org/directory/open-calls/summer-2026-communal-residency,open-calls,open,residency,"New York, United States",multidisciplinary,2026-02-15 00:00:00
Eureka Springs School of the Arts,https://essa-art.org/wp-content/uploads/2025/09/2026-Spring.Summer-Ceramics-Residency-Application.pdf,Arts Organization,https://artistcommunities.org/directory/open-calls/2026-springsummer-ceramics-artist-residency-program,open-calls,open,residency,Arkansas,ceramics,2026-02-15 00:00:00
Arts Southeast,https://artssoutheast.org/onview-residency-app,Arts Organization,https://artistcommunities.org/directory/open-calls/sunny-savannah-fully-funded-jun-sept-2026,open-calls,open,residency,"Georgia, United States",multidisciplinary,2026-02-16 00:00:00
Banff Centre for Arts & Creativity,http://url.banffcentre.ca/bgOwyL,Arts Organization,https://artistcommunities.org/directory/open-calls/crime-writing-2026,open-calls,open,residency,"Alberta, Canada",writing,2026-02-18 00:00:00
Bethany Arts Community,https://bethanyarts.org/calendar/eafcall2026/,Arts Organization,https://artistcommunities.org/directory/open-calls/call-emerging-artists-2026-emerging-artist-fellowship-bethany-arts-community,open-calls,open,fellowship,"New York, United States",multidisciplinary,2026-02-20 00:00:00
Aviário Studio,https://www.aviariostudio.eu/apply-now,Arts Organization,https://artistcommunities.org/directory/open-calls/aviario-studio-ceramics-residency-summerfall-2026,open-calls,open,residency,Portugal,ceramics,2026-02-28 00:00:00
Bischoff Inn,https://www.bischoffinn.com/winterspringresidency,Arts Organization,https://artistcommunities.org/directory/open-calls/winterspring-2025-2026-session,open-calls,open,residency,United States,multidisciplinary,2026-02-28 00:00:00
School of Visual Arts,https://sva.edu/academics/artist-residency-programs/fine-arts-contemporary-practices-26-su-fid-4994-b,Arts Organization,https://artistcommunities.org/directory/open-calls/fine-arts-contemporary-practices,open-calls,open,residency,"New York, United States",visual arts,2026-03-01 00:00:00
Surel's Place,https://surelsplace.org/application/,Arts Organization,https://artistcommunities.org/directory/open-calls/surels-place-artist-residency-program-july-december,open-calls,open,residency,"Idaho, United States",multidisciplinary,2026-03-01 00:00:00
Kimmel Harding Nelson Center for the Arts,https://www.khncenterforthearts.org/residency,Arts Organization,https://artistcommunities.org/directory/open-calls/2026-session-ii-residencies,open-calls,open,residency,"Nebraska, United States",multidisciplinary,2026-03-01 00:00:00
Kala Art Institute,https://kala.slideroom.com/#/Login,Arts Organization,https://artistcommunities.org/directory/open-calls/2026-2027-fellowship-and-other-residencies,open-calls,open,residency,"California, United States",printmaking,2026-03-01 00:00:00
