https://www.proyectoace.org/en/residencies/production-residencies/,org_website,org_type,source_link,source_type,access_status,opportunity_types_offered,geographic_focus,mediums_supported,estimated_opp_count,priority,notes,date_extracted
Conjunctions,https://www.conjunctions.com/,Literary Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,literary arts,2026-01-05 00:00:00,Medium,"Innovative fiction, poetry, drama",2026-01-16 00:00:00
New York Foundation for the Arts,https://www.nyfa.org/,Foundation,https://fundsforwriters.com/grants/,A,open,"grants, fellowships, fiscal sponsorship","New York State, USA",multidisciplinary,10+,High,"NYSCA Artist Fellowship $8000, Fiscal Sponsorship program, Queens Arts Fund",2026-01-16 00:00:00
Tennessee Arts Commission,https://tnartscommission.org/,Government Body,https://fundsforwriters.com/grants/,A,open,grants,"Tennessee, USA",multidisciplinary,10+,High,"FY27 Annual Grants, Individual Artist Fellowships $5000, Rolling Grants, Creative Aging",2026-01-16 00:00:00
London Library,https://www.londonlibrary.co.uk/,Library,https://fundsforwriters.com/grants/,A,open,fellowships,UK,literary arts,2026-01-05 00:00:00,Medium,"Emerging Writers Programme with free membership, masterclasses, bursaries",2026-01-16 00:00:00
The Compact,https://thecompact.org/,Nonprofit,https://fundsforwriters.com/grants/,A,open,residencies,"Massachusetts, USA",literary arts,2026-01-05 00:00:00,Medium,"Dune Shack residencies Cape Cod National Seashore, primitive accommodations",2026-01-16 00:00:00
Medill Northwestern University,https://www.medill.northwestern.edu/,Educational Institution,https://fundsforwriters.com/grants/,A,open,workshop grants,USA,literary arts,2026-01-05 00:00:00,Medium,George R. R. Martin Summer Intensive Writing Workshop Grants $5000,2026-01-16 00:00:00
Banff Centre,https://www.banffcentre.ca/,Arts Center,https://fundsforwriters.com/grants/,A,open,"residencies, scholarships",Canada,literary arts,2026-05-10 00:00:00,High,"Crime Writing Residency, Sports Writing Residency, Artist Fund scholarships",2026-01-16 00:00:00
Maryland State Arts Council,https://msac.org/,Government Body,https://fundsforwriters.com/grants/,A,open,grants,"Maryland, USA",multidisciplinary,10+,High,"Creativity Grants $1000-$4000, Professional Development up to $2000, Emergency Grants $2000, Grants for Artists $6000",2026-01-16 00:00:00
International Women's Media Foundation,https://iwmf.org/,Foundation,https://fundsforwriters.com/grants/,A,open,grants,International,journalism,2026-05-10 00:00:00,High,"Fund for Indigenous Journalists (MMIP reporting), Emergency Fund for US journalists",2026-01-16 00:00:00
Tarbell Center,https://www.tarbellcenter.org/,Organization,https://fundsforwriters.com/grants/,A,open,fellowships,USA,journalism,2026-01-05 00:00:00,High,"Tarbell Fellowship for AI journalism, $60k-$110k, 9-month placement",2026-01-16 00:00:00
Ida B. Wells Society,https://idabwellssociety.org/,Organization,https://fundsforwriters.com/grants/,A,open,fellowships,USA,journalism,2026-01-05 00:00:00,High,"Investigative Reporting Fellowship, no-cost intensive training",2026-01-16 00:00:00
SouthArts,https://www.southarts.org/,Arts Organization,https://fundsforwriters.com/grants/,A,open,grants,Southern USA (9 states),multidisciplinary,10+,High,"Creative Practice Grants $3000, Express Grants $3000, Professional Development $1000",2026-01-16 00:00:00
Pittsburgh Arts Council,https://www.pittsburghartscouncil.org/,Arts Council,https://fundsforwriters.com/grants/,A,open,grants,"Pennsylvania, USA",small business,2026-01-05 00:00:00,Medium,Creative Entrepreneur Accelerator $2000 plus consulting,2026-01-16 00:00:00
South Carolina Film Commission,https://www.indiegrants.org/,Government Body,https://fundsforwriters.com/grants/,A,demographic-specific,grants,"South Carolina, USA","film, media",2026-01-05 00:00:00,Low,Young Filmmakers Project for high school students $750,2026-01-16 00:00:00
Vermont Arts Council,https://www.vermontartscouncil.org/,Arts Council,https://fundsforwriters.com/grants/,A,open,grants,"Vermont, USA",multidisciplinary,2026-05-10 00:00:00,High,"Artist Development Grants $2000, Artists in Schools program",2026-01-16 00:00:00
San Antonio Arts & Culture,https://www.sa.gov/,Government Body,https://fundsforwriters.com/grants/,A,open,grants,"Texas, USA",multidisciplinary,2026-05-10 00:00:00,Medium,Artist Grants $7500-$15000 for new work creation,2026-01-16 00:00:00
City of Austin,https://thelongcenter.org/,Government Body,https://fundsforwriters.com/grants/,A,open,grants,"Texas, USA",multidisciplinary,10+,High,Elevate program up to $30000 for individual artists,2026-01-16 00:00:00
Poets & Writers (NY State),https://www.pw.org/,Nonprofit,https://fundsforwriters.com/grants/,A,demographic-specific,grants,"New York State, USA",literary arts,2026-05-10 00:00:00,Medium,"Mini-Grants, Reading Series Grants, Festival Grants up to $3000",2026-01-16 00:00:00
Texas Commission on the Arts,https://www.arts.texas.gov/,Government Body,https://fundsforwriters.com/grants/,A,open,"grants, roster","Texas, USA",multidisciplinary,10+,High,"Various grants FY26, Touring Roster for artists",2026-01-16 00:00:00
We Need Diverse Books,https://www.diversebooks.org/,Nonprofit,https://fundsforwriters.com/grants/,A,demographic-specific,emergency grants,USA,literary arts,2026-01-05 00:00:00,Medium,"Emergency grants $250-$1000, Palestinian writers fund, Hurricane Helene fund",2026-01-16 00:00:00
SCBWI (Society of Children's Book Writers and Illustrators),https://www.scbwi.org/,Professional Organization,https://fundsforwriters.com/grants/,A,membership,grants,International,children's literature,2026-05-10 00:00:00,Medium,"Independently Published Pre-Publication Grants $2500, Emergency Fund $1500",2026-01-16 00:00:00
Hugo Burge Foundation,https://www.hugoburgefoundation.org/,Foundation,https://fundsforwriters.com/grants/,A,open,residencies,"Scotland, UK",multidisciplinary,2026-01-05 00:00:00,Medium,Fully-funded residencies Scottish Borders throughout year,2026-01-16 00:00:00
Missouri Film Office,https://mofilm.org/,Government Body,https://fundsforwriters.com/grants/,A,open,fellowships,International,screenwriting,2026-01-05 00:00:00,Medium,Missouri Stories Scriptwriting Fellowship for MO-based stories,2026-01-16 00:00:00
Economic Hardship Reporting Project,https://economichardship.org/,Nonprofit,https://fundsforwriters.com/grants/,A,open,grants,USA,journalism,2026-05-10 00:00:00,High,"Grants for journalists reporting on poverty, workers rights, income disparity",2026-01-16 00:00:00
Trillium Arts,https://www.trilliumartsnc.org/,Arts Center,https://fundsforwriters.com/grants/,A,demographic-specific,"residencies, fellowships","North Carolina, USA",literary arts,2026-01-05 00:00:00,Medium,"Miss Sarah Fellowship for Black Women Writers $1000, residencies",2026-01-16 00:00:00
Silvers Foundation,https://silversfoundation.org/,Foundation,https://fundsforwriters.com/grants/,A,open,grants,International,literary nonfiction,2026-05-10 00:00:00,High,"Silvers Grants for Work in Progress up to $10000, editorial agreement required",2026-01-16 00:00:00
Akron Soul Train,https://www.akronsoultrain.org/,Arts Center,https://fundsforwriters.com/grants/,A,open,residencies,"Ohio, USA (regional)",multidisciplinary,2026-01-05 00:00:00,Medium,"Artist residencies $1000 stipend, 1 month, regional artists",2026-01-16 00:00:00
Bogliasco Foundation,https://www.bfny.org/,Foundation,https://fundsforwriters.com/grants/,A,open,residencies,Italy (international applicants),multidisciplinary,10+,High,"1-month residential fellowships Liguria Italy, room and board included",2026-01-16 00:00:00
Art 14 LA Studio,https://www.lastudio.org/,Arts Center,https://fundsforwriters.com/grants/,A,open,residencies,"Pennsylvania, USA",multidisciplinary,2026-05-10 00:00:00,Low,$250/week or $1000/month residency Patton PA Appalachian Mountains,2026-01-16 00:00:00
Loghaven Artist Residency,https://loghaven.org/,Residency Center,https://fundsforwriters.com/grants/,A,open,residencies,"Tennessee, USA",multidisciplinary,2026-05-10 00:00:00,High,"$850/week stipend, $400-$800 travel subsidy, $200 materials, 90 wooded acres",2026-01-16 00:00:00
Breck Create,https://breckcreate.org/,Arts Center,https://fundsforwriters.com/grants/,A,open,residencies,"Colorado, USA",multidisciplinary,2026-05-10 00:00:00,Medium,2-4 month residencies $600 biweekly stipend Breckenridge CO,2026-01-16 00:00:00
Barbara Deming Memorial Fund,https://www.demingfund.org/,Foundation,https://fundsforwriters.com/grants/,A,demographic-specific,grants,"USA, Canada","literary arts, visual arts",2026-05-10 00:00:00,Medium,"Feminist women artists $500-$2000, Fiction/Visual Arts even years, Nonfiction/Poetry odd years",2026-01-16 00:00:00
Awesome Foundation,https://www.awesomefoundation.org/,Foundation,https://fundsforwriters.com/grants/,A,open,grants,International,multidisciplinary,10+,Low,"$1000 microgrants monthly, 65 chapters worldwide, no strings attached",2026-01-16 00:00:00
Adobe Creative Residency Fund,https://www.adobe.com/,Corporation,https://fundsforwriters.com/grants/,A,demographic-specific,grants,International,multidisciplinary,2026-01-05 00:00:00,Medium,$10000 for creatives impacted by Ukraine invasion,2026-01-16 00:00:00
Artists 360 - Northwest Arkansas,https://artists360.art/,Arts Organization,https://fundsforwriters.com/grants/,A,open,grants,"Arkansas, USA",multidisciplinary,2026-05-10 00:00:00,Medium,Practice-based monetary awards for artists,2026-01-16 00:00:00
Amerind Museum,https://www.amerind.org/,Museum,https://fundsforwriters.com/grants/,A,demographic-specific,residencies,"Arizona, USA",Native American artists,2026-01-05 00:00:00,Medium,"$3000/month stipend, housing, workspace for emerging Native American artists",2026-01-16 00:00:00
Nebraska Arts Council,https://www.artscouncil.nebraska.gov/,Government Body,https://fundsforwriters.com/grants/,A,open,"grants, roster","Nebraska, USA",multidisciplinary,10+,Medium,"Arts Projects, Mini Grants $2000, Micro Grants $500, Artist Roster, Creative Aging",2026-01-16 00:00:00
A Public Space,https://apublicspace.org/,Literary Magazine,https://fundsforwriters.com/grants/,A,open,fellowships,USA,literary arts,2026-01-05 00:00:00,Medium,"Writing Fellowships $1000, editorial support, unpublished book writers",2026-01-16 00:00:00
Pattern Space (Indiana Arts),https://www.in.gov/arts/,Arts Organization,https://fundsforwriters.com/grants/,A,open,residencies,"Indiana, USA",multidisciplinary,2026-01-05 00:00:00,Medium,S.P.A.C.E. Residency 6-month $2000 stipend downtown Indianapolis Stutz,2026-01-16 00:00:00
Surel's Place,https://surelsplace.org/,Residency Center,https://fundsforwriters.com/grants/,A,open,residencies,"Idaho, USA",multidisciplinary,2026-01-05 00:00:00,Medium,1-month residencies $100/week stipend $300 travel Garden City ID,2026-01-16 00:00:00
Indiana Pro Bono Legal Help,https://indianalegalhelp.org/,Legal Services,https://fundsforwriters.com/grants/,A,open,legal assistance,"Indiana, USA",multidisciplinary,unknown,Medium,Lawyers for the Arts free legal assistance Tuesdays/Thursdays 9-11am CT,2026-01-16 00:00:00
La Porte Peinte,https://laportepeinte.com/,Arts Center,https://fundsforwriters.com/grants/,A,open,residencies,France,multidisciplinary,2026-05-10 00:00:00,Medium,Residencies Noyers sur Serein medieval village Burgundy France,2026-01-16 00:00:00
Dramatists Guild Foundation,https://dgf.org/,Foundation,https://fundsforwriters.com/grants/,A,open,emergency grants,USA,"theatre, playwriting",2026-05-10 00:00:00,Medium,"Housing Assistance Grants, Emergency Grant for dramatists",2026-01-16 00:00:00
Inev  itable Foundation,https://www.inevitablefoundation.org/,Foundation,https://fundsforwriters.com/grants/,A,demographic-specific,fellowships,USA,screenwriting,2026-01-05 00:00:00,High,Screenwriting Fellowship $25000 for disabled screenwriters,2026-01-16 00:00:00
Washington College Starr Center,https://www.washcoll.edu/,Educational Institution,https://fundsforwriters.com/grants/,A,open,fellowships,"Maryland, USA",history writing,2026-01-05 00:00:00,High,"Patrick Henry History Fellowship $45000, 9-month residency Chestertown MD",2026-01-16 00:00:00
Pulitzer Center,https://pulitzercenter.org/,Nonprofit,https://fundsforwriters.com/grants/,A,open,"grants, fellowships",International,journalism,10+,High,Persephone Miel Fellowships $5000 for journalists outside US/Western Europe,2026-01-16 00:00:00
Wisconsin Humanities,https://wisconsinhumanities.org/,Humanities Council,https://fundsforwriters.com/grants/,A,open,grants,"Wisconsin, USA","history, humanities",2026-05-10 00:00:00,Medium,$2000-$10000 for nonprofit humanities programs,2026-01-16 00:00:00
Monson Arts,https://monsonarts.org/,Arts Center,https://fundsforwriters.com/grants/,A,open,residencies,"Maine, USA",multidisciplinary,2026-05-10 00:00:00,Medium,2-4 week residencies $1000 stipend ($500 for 2-week) North Woods Maine,2026-01-16 00:00:00
Mesa Refuge,https://mesarefuge.org/,Residency Center,https://fundsforwriters.com/grants/,A,open,residencies,"California, USA","literary nonfiction, journalism",2026-05-10 00:00:00,High,Point Reyes residencies for writers addressing pressing issues,2026-01-16 00:00:00
Somerset County Arts Council,https://www.socoarts.org/,Arts Council,https://fundsforwriters.com/grants/,A,open,grants,"Massachusetts, USA",multidisciplinary,2026-01-05 00:00:00,Low,Individual artist grants up to $1000,2026-01-16 00:00:00
ASJA (American Society of Journalists and Authors),https://www.asja.org/,Professional Organization,https://fundsforwriters.com/grants/,A,membership,emergency grants,USA,journalism,2026-01-05 00:00:00,Medium,Writers Emergency Assistance Fund for freelance writers unable to work,2026-01-16 00:00:00
Indy Arts Council,https://indyarts.org/,Arts Council,https://fundsforwriters.com/grants/,A,open,grants,"Indiana, USA",multidisciplinary,2026-01-05 00:00:00,Medium,Mental Health & Wellness Grants for artists experiencing challenges,2026-01-16 00:00:00
The Onion,https://www.theonion.com/,Media Company,https://fundsforwriters.com/grants/,A,open,fellowships,USA,humor writing,2026-01-05 00:00:00,Medium,"Onion Writer Fellowship $35000, 6-month intensive, in-office Chicago",2026-01-16 00:00:00
Miles Morland Foundation,https://milesmorlandfoundation.com/,Foundation,https://fundsforwriters.com/grants/,A,demographic-specific,grants,Africa,literary arts,2026-05-10 00:00:00,High,Morland Writing Scholarships for African writers born in Africa,2026-01-16 00:00:00
Mid-America Arts Alliance,https://www.maaa.org/,Arts Alliance,https://fundsforwriters.com/grants/,A,open,training,Midwest USA,multidisciplinary,2026-05-10 00:00:00,Medium,"Artist INC professional development, 8-week program",2026-01-16 00:00:00
Writers Guild Foundation,https://www.wgfoundation.org/,Foundation,https://fundsforwriters.com/grants/,A,demographic-specific,training,USA,screenwriting,2026-01-05 00:00:00,Medium,Writers Access Support Staff Training Program for underrepresented writers,2026-01-16 00:00:00
Folger Institute,https://www.folger.edu/,Educational Institution,https://fundsforwriters.com/grants/,A,open,fellowships,"Washington DC, USA","literary arts, research",2026-05-10 00:00:00,Medium,Artistic Research Fellowships 1-3 months virtual or residential,2026-01-16 00:00:00
California Arts Council,https://arts.ca.gov/,Government Body,https://fundsforwriters.com/grants/,A,open,"grants, fellowships, panelist fees","California, USA",multidisciplinary,10+,High,"Individual Artist Fellowships, Grant Panelist honorarium $300",2026-01-16 00:00:00
Poetry Bulletin,https://www.poetrybulletin.com/,Nonprofit,https://fundsforwriters.com/grants/,A,open,fee support,International,poetry,2026-01-05 00:00:00,Low,"Entry fee support for poets, max 3 submissions",2026-01-16 00:00:00
New Jersey State Council on the Arts,https://www.nj.gov/state/njsca/,Government Body,https://fundsforwriters.com/grants/,A,open,roster,"New Jersey, USA",multidisciplinary,10+,Medium,"Artists in Education roster, PreK-12 residencies",2026-01-16 00:00:00
Indiana Arts Commission,https://www.in.gov/arts/,Government Body,https://fundsforwriters.com/grants/,A,open,grants,"Indiana, USA",multidisciplinary,2026-05-10 00:00:00,Medium,Arts Project Support up to $4000 for nonprofits/schools,2026-01-16 00:00:00
Casa Uno,https://mostlydance.com/,Residency Center,https://fundsforwriters.com/grants/,A,open,residencies,Costa Rica,multidisciplinary,2026-01-05 00:00:00,Medium,3-week residencies beautiful nurturing environment no fee,2026-01-16 00:00:00
Grand Plan Fund,https://www.grandplanfund.co.uk/,Foundation,https://fundsforwriters.com/grants/,A,demographic-specific,grants,UK,multidisciplinary,2026-05-10 00:00:00,Medium,£1000 grants for people of colour over 18 for creative practice,2026-01-16 00:00:00
North Carolina Arts Council,https://www.ncarts.org/,Government Body,https://fundsforwriters.com/grants/,A,open,grants,"North Carolina, USA",multidisciplinary,10+,Medium,Artist Support Grants $500-$2000 via regional consortia,2026-01-16 00:00:00
Odyssey Workshop,https://www.odysseyworkshop.org/,Educational Institution,https://fundsforwriters.com/grants/,A,open,scholarships,USA,"literary arts, SFF",2026-05-10 00:00:00,Medium,Scholarships $400-$4000 for 6-week writing workshop,2026-01-16 00:00:00
Grist,https://grist.org/,Media Organization,https://fundsforwriters.com/grants/,A,open,fellowships,USA,environmental journalism,2026-01-05 00:00:00,Medium,Grist Fellowship paid 1-year environmental journalism training,2026-01-16 00:00:00
Stochastic Labs,https://stochasticlabs.org/,Residency Center,https://fundsforwriters.com/grants/,A,open,residencies,"California, USA (Berkeley)",multidisciplinary,2026-05-10 00:00:00,High,Fully sponsored residencies private apartment monthly stipend materials budget,2026-01-16 00:00:00
Fiction Meets Science,https://fictionmeetsscience.org/,Residency Center,https://fundsforwriters.com/grants/,A,open,fellowships,Germany,"literary arts, science writing",2026-01-05 00:00:00,Medium,Writers-in-Residence $1000 honorarium Delmenhorst Germany,2026-01-16 00:00:00
New England Foundation for the Arts,https://www.nefa.org/,Arts Organization,https://fundsforwriters.com/grants/,A,open,grants,New England USA (6 states),multidisciplinary,10+,Medium,NEST touring grants $500-$10000 for nonprofit presenters,2026-01-16 00:00:00
Northwest Film Forum,https://nwfilmforum.org/,Film Organization,https://fundsforwriters.com/grants/,A,demographic-specific,grants,USA,"film, directing",2026-01-05 00:00:00,Medium,Of A Certain Age Grant $20000 for women/nonbinary/trans 39+ first narrative feature,2026-01-16 00:00:00
Nebraska Mini Grants,https://www.artscouncil.nebraska.gov/,Government Body,https://fundsforwriters.com/grants/,A,open,grants,"Nebraska, USA",multidisciplinary,2026-05-10 00:00:00,Low,$2000 limit for quick arts project access,2026-01-16 00:00:00
Atlantic Center for the Arts,https://atlanticcenterforthearts.org/,Arts Center,https://fundsforwriters.com/grants/,A,open,residencies,"Florida, USA",multidisciplinary,2026-05-10 00:00:00,Medium,$400 stipend residencies New Smyrna Beach with Mentoring Artists,2026-01-16 00:00:00
Montana Humanities,https://www.humanitiesmontana.org/,Humanities Council,https://fundsforwriters.com/grants/,A,open,grants,"Montana, USA",humanities,2026-01-05 00:00:00,Low,Opportunity Grants up to $1000 for organizations,2026-01-16 00:00:00
Rhode Island State Council on the Arts,https://risca.online/,Government Body,https://fundsforwriters.com/grants/,A,open,"grants, roster","Rhode Island, USA",multidisciplinary,10+,Medium,"Opportunity Grants $1000, Teaching Artist Roster",2026-01-16 00:00:00
Sarasvati Space,https://www.sarasvati.space/,Residency Center,https://fundsforwriters.com/grants/,A,fee-based,residencies,"Tennessee, USA",multidisciplinary,2026-01-05 00:00:00,Low,$200-$850/week residencies between Hohenwald and Waynesboro TN,2026-01-16 00:00:00
ARTerra Portugal,https://arterra.weebly.com/,Residency Center,https://fundsforwriters.com/grants/,A,open,residencies,Portugal,multidisciplinary,2026-05-10 00:00:00,Medium,Multidisciplinary residencies Lobão da Beira village Tondela Portugal,2026-01-16 00:00:00
Hypatia in the Woods,https://hypatiainthewoods.org/,Residency Center,https://fundsforwriters.com/grants/,A,demographic-specific,residencies,"Washington State, USA",women in arts/entrepreneurship,2026-01-05 00:00:00,Medium,Residencies for women Shelton WA quarterly deadlines,2026-01-16 00:00:00
Writers' Colony at Dairy Hollow,https://www.writerscolony.org/,Residency Center,https://fundsforwriters.com/grants/,A,open,fellowships,"Arkansas, USA",literary arts,2026-01-05 00:00:00,Medium,"Moondancer Fellowship 2-week nature/environment writing, $500 stipend for parent writers",2026-01-16 00:00:00
Folkist Space,https://folkist.space/,Residency Center,https://fundsforwriters.com/grants/,A,open,residencies,"New York, USA","folk arts, textile, traditional",2026-01-05 00:00:00,Low,$500 stipend residencies Clinton NY for folk art,2026-01-16 00:00:00
Delaware Division of the Arts,https://arts.delaware.gov/,Government Body,https://fundsforwriters.com/grants/,A,open,grants,"Delaware, USA",multidisciplinary,2026-05-10 00:00:00,Medium,"Artist Opportunity Grants up to $1000, quarterly deadlines",2026-01-16 00:00:00
Jane Austen's House,https://janeaustens.house/,Museum,https://fundsforwriters.com/grants/,A,open,residencies,UK,multidisciplinary,2026-01-05 00:00:00,Low,Reimagine Residencies Chawton Hampshire UK in-person or virtual,2026-01-16 00:00:00
Jack Hazard Fellowship,https://www.newliteraryproject.org/,Fellowship Program,https://fundsforwriters.com/grants/,A,open,fellowships,USA,literary arts,2026-01-05 00:00:00,Medium,$5000 fellowships for high school teachers writing fiction/nonfiction,2026-01-16 00:00:00
MASS MoCA Studios,https://www.assetsforartists.org/,Arts Center,https://fundsforwriters.com/grants/,A,open,fellowships,"Massachusetts, USA",multidisciplinary,10+,Medium,"Full fellowships up to 4 weeks, Black/Indigenous fellowship $200/week stipend, MA Family Fellowship $1000",2026-01-16 00:00:00
FIYAH Lit Mag,https://fiyahlitmag.com/,Literary Magazine,https://fundsforwriters.com/grants/,A,demographic-specific,grants,USA,speculative fiction,2026-01-05 00:00:00,Low,$1000 grants for Black writers speculative fiction prose only,2026-01-16 00:00:00
Oak Spring Garden Foundation,https://www.osgf.org/,Foundation,https://fundsforwriters.com/grants/,A,open,residencies,"Virginia, USA",multidisciplinary,2026-05-10 00:00:00,Medium,5-week $2000 or 2-week $800 grants Interdisciplinary Residency Upperville VA,2026-01-16 00:00:00
Arts New Orleans,https://www.artsneworleans.org/,Arts Council,https://fundsforwriters.com/grants/,A,open,panelist fees,"Louisiana, USA",multidisciplinary,2026-01-05 00:00:00,Low,Grant panelist volunteers modest honorarium Orleans/Jefferson/Plaquemines Parishes,2026-01-16 00:00:00
Arts & Science Council Charlotte,https://artsandscience.org/,Arts Council,https://fundsforwriters.com/grants/,A,open,grants,"North Carolina, USA (Charlotte)",multidisciplinary,2026-05-10 00:00:00,High,"Founders Grants $50000, Artist Support Grants $3000",2026-01-16 00:00:00
Grunewald Guild,https://grunewaldguild.com/,Residency Center,https://fundsforwriters.com/grants/,A,volunteer-based,residencies,"Washington State, USA",multidisciplinary,2026-05-10 00:00:00,Low,4-6 week residencies volunteer-based 15-20hrs/week Leavenworth WA,2026-01-16 00:00:00
Camargo Foundation,https://camargofoundation.org/,Foundation,https://fundsforwriters.com/grants/,A,open,residencies,France,multidisciplinary,10+,High,Multiple residency types Cassis France Escales/Horizons/Incubateurs/Au long cours,2026-01-16 00:00:00
Lighthouse Works,https://lighthouseworks.us/,Residency Center,https://fundsforwriters.com/grants/,A,open,fellowships,"New York, USA (Fishers Island)",multidisciplinary,2026-05-10 00:00:00,Medium,6-week fellowships $1750 stipend housing food studio Victorian house,2026-01-16 00:00:00
Illinois Arts Council,https://arts.illinois.gov/,Government Body,https://fundsforwriters.com/grants/,A,open,grants,"Illinois, USA",multidisciplinary,10+,High,Creative Catalyst Grant up to $12000 rolling deadline,2026-01-16 00:00:00
Crime Writers Association,https://thecwa.co.uk/,Professional Organization,https://fundsforwriters.com/grants/,A,membership,bursaries,UK,crime writing,2026-05-10 00:00:00,Medium,"19 different bursaries for membership, conferences, CrimeFest for underrepresented groups",2026-01-16 00:00:00
Fleishhacker Foundation,https://www.fleishhackerfoundation.org/,Foundation,https://fundsforwriters.com/grants/,A,open,grants,"California, USA (Bay Area)",multidisciplinary,2026-05-10 00:00:00,Medium,Small Arts Grant $2500-$10000 for nonprofit arts orgs producing new work,2026-01-16 00:00:00
Maine Writers & Publishers Alliance,https://www.mainewriters.org/,Arts Organization,https://fundsforwriters.com/grants/,A,open,"fellowships, scholarships","Maine, USA",literary arts,2026-05-10 00:00:00,Medium,"Ashley Bryan Fellowships, Bodwell Fellowship $500, Christina Baker Kline Scholarships, Martin Dibner Fellowships",2026-01-16 00:00:00
The Literary Consultancy,https://literaryconsultancy.co.uk/,Literary Services,https://fundsforwriters.com/grants/,A,open,free reads,UK,literary arts,10+,Medium,Free Reads programme Arts Council England funded for low-income writers,2026-01-16 00:00:00
The White Pube,https://thewhitepube.co.uk/,Arts Organization,https://fundsforwriters.com/grants/,A,demographic-specific,grants,UK,multidisciplinary,2026-01-05 00:00:00,Low,£500 monthly grants for working class creatives early career,2026-01-16 00:00:00
The Authors' Foundation,https://www2.societyofauthors.org/,Foundation,https://fundsforwriters.com/grants/,A,open,grants,"UK, Ireland",literary arts,2026-05-10 00:00:00,Medium,£2000-£6000 for commissioned books research/travel/expenses,2026-01-16 00:00:00
First Jobs Fund,https://journalistscharity.org.uk/,Charity,https://fundsforwriters.com/grants/,A,open,grants,UK,journalism,2026-01-05 00:00:00,Medium,For new journalists within 2 years experiencing financial stress,2026-01-16 00:00:00
Journalist's Charity,https://journalistscharity.org.uk/,Charity,https://fundsforwriters.com/grants/,A,open,financial assistance,UK,journalism,2026-01-05 00:00:00,Medium,Financial assistance for UK journalists or former journalists,2026-01-16 00:00:00
Peggy Ramsay Foundation,https://www.peggyramsayfoundation.org/,Foundation,https://fundsforwriters.com/grants/,A,open,grants,"UK, Ireland","playwriting, theatre",2026-05-10 00:00:00,Medium,Grants for theatre writers struggling to pay bills British Isles residents,2026-01-16 00:00:00
Women's History Network,https://womenshistorynetwork.org/,Organization,https://fundsforwriters.com/grants/,A,open,grants,UK,women's history research,2026-01-05 00:00:00,Low,Independent Researcher Grants up to £750 for women's history projects,2026-01-16 00:00:00
Guild of Food Writers,https://www.gfw.co.uk/,Professional Organization,https://fundsforwriters.com/grants/,A,membership,grants,UK,food writing,2026-01-05 00:00:00,Low,Futures Fund £2000 annually for members' projects,2026-01-16 00:00:00
Canada Council for the Arts,https://canadacouncil.ca/,Government Body,https://fundsforwriters.com/grants/,A,open,grants,Canada,multidisciplinary,10+,High,"Research and Creation grants up to $25000, Application Assistance available",2026-01-16 00:00:00
Arts Kansas City,https://artskc.org/,Arts Council,https://fundsforwriters.com/grants/,A,open,grants,"Missouri, USA (Kansas City)",multidisciplinary,2026-05-10 00:00:00,Medium,Inspiration Grants for individual artists for career advancement,2026-01-16 00:00:00
Boston Foundation,https://www.tbf.org/,Foundation,https://fundsforwriters.com/grants/,A,open,fellowships,"Massachusetts, USA (Boston)",multidisciplinary,2026-05-10 00:00:00,High,Brother Thomas Fellowships $15000 unrestricted for Greater Boston artists,2026-01-16 00:00:00
Arts Council of Northern Ireland,https://artscouncil-ni.org/,Government Body,https://fundsforwriters.com/grants/,A,open,travel awards,"Northern Ireland, UK",multidisciplinary,2026-01-05 00:00:00,Medium,SIAP Travel Awards for artists to develop skills abroad,2026-01-16 00:00:00
Nevada Arts Council,https://www.nvartscouncil.org/,Government Body,https://fundsforwriters.com/grants/,A,open,grants,"Nevada, USA",multidisciplinary,2026-05-10 00:00:00,Medium,Project Grants for Artists up to $3000 twice yearly,2026-01-16 00:00:00
National League of American Pen Women,https://www.nlapw.org/,Professional Organization,https://fundsforwriters.com/grants/,A,demographic-specific,grants,USA,multidisciplinary (women 35+),2026-01-05 00:00:00,Low,Shirley Holden Helberg Grants $1000 for mature women every odd year,2026-01-16 00:00:00
Australia Copyright Agency,https://www.copyright.com.au/,Organization,https://fundsforwriters.com/grants/,A,open,grants,Australia,literary arts,2026-01-05 00:00:00,Medium,Cultural Fund support for publishers' commissions First Nations/diverse writers,2026-01-16 00:00:00
The Salty Quill,https://www.thesaltyquill.com/,Residency Center,https://fundsforwriters.com/grants/,A,open,scholarships,"Maine, USA",literary arts,2026-01-05 00:00:00,Low,Scholarships for writers retreat McGee Island Maine based on writing sample,2026-01-16 00:00:00
Virginia Center for the Creative Arts,https://www.vcca.com/,Residency Center,https://fundsforwriters.com/grants/,A,open,"residencies, financial aid","Virginia, USA & France",multidisciplinary,10+,High,Full/partial fellowships Amherst VA and Auvillar France for 400+ artists/year,2026-01-16 00:00:00
Creative Inspired Happy,https://www.creativeinspiredhappy.com/,Organization,https://fundsforwriters.com/grants/,A,open,scholarships,USA,literary arts,2026-01-05 00:00:00,Low,Mid-Career Writing Scholarship $1000 for aspiring writers not in professional career,2026-01-16 00:00:00
Charles Wallace India Trust,https://www.charleswallaceindiatrust.com/,Foundation,https://fundsforwriters.com/grants/,A,demographic-specific,scholarships,India-UK,multidisciplinary,2026-01-05 00:00:00,Medium,Visiting Fellowships for Indians early/mid-career to spend time in UK,2026-01-16 00:00:00
